# RULE-SYNC-REGISTER.tsv — bidirectional rule-coverage audit
# slop=309 ksf=14 charon-reverse=16
# direction: into-charon = SLOP/KSF rule evaluated against Charon; out-of-charon = Charon mechanism SLOP/KSF lack
# charon_status: ported | gap | n-a
# action: none | port-to-charon | file-slop-ticket | file-ksf-ticket
source_framework	rule_id	rule_summary	charon_status	direction	mechanized	action	note
slop	SLOP-INV:2.21	Doctrine 2 B1: Orphaned-spec lens — promise-scanner emitting BLOCKING orphaned-spec when mechanism promised but absent	gap	into-charon	none	port-to-charon	Charon lacks an orphan-spec scanner; would catch the GAP-REGISTER-class misses (the very bug this ticket fixes).
slop	SLOP-INV:2.22	Doctrine 2 B2: Manager pre-escalation force-function — before operator menu, complete packet with adversarial review, verdict, operator-class justification, reversibility	ported	into-charon	none	none	MANAGER-OPERATING-RULES §5 'adversarial review must not silently override operator' + 'independent-review-before-merge-on-critical'.
slop	SLOP-INV:2.23	Verification protocol mandatory for verifying cleanup step is done before flipping checkbox	ported	into-charon	none	none	MANAGER-OPERATING-RULES §8 'tests-must-fail-on-revert' enforces verification.
slop	SLOP-INV:2.24	Scratch files in /srv/tmp not /tmp; verify against server tree not local clone; ms-status canonical form is python3 ms-status from /srv/mediastack/	n-a	into-charon	none	none	Build-rig specific; not portable.
slop	SLOP-INV:2.25	Pre-flight before any commit work: git fetch origin, log/diff/status, ms-status — surface discrepancies before proceeding	ported	into-charon	fleet/preflight.sh	none	Same mechanism, different filename.
slop	SLOP-INV:2.26	Reconciliation protocol: run coverage report at batch start; surge BLOCKING gaps to operator + file to tracking.db; soft gaps file+continue	gap	into-charon	none	port-to-charon	Charon BOARD-REDS-FIX-PACKET.md covers this manually; no automated reconciliation gate.
slop	SLOP-INV:2.27	Independent review: REVIEW-LOG entry per significant change with reviewer/charge/key-findings/per-finding-reconciliation; durable committed record	ported	into-charon	docs/review-log/<id>.md	none	Charon review-log fragments are the per-ticket equivalent; per-ticket ownership prevents the shared-append collision.
slop	SLOP-INV:2.28	DToC review arbitration: debate-to-consensus with judge model pinned to Opus; reviewers A=Opus B=Sonnet for cross-tier decorrelation	gap	into-charon	none	port-to-charon	Charon no DTC framework; no judge-model pinned. Could adopt via session-bridge multi-session pattern.
slop	SLOP-INV:2.29	Droid work-strategy layer: TEAM-PROTOCOL rules trump prose; GROUNDING discipline — verify cited paths with grep before acting	gap	into-charon	none	port-to-charon	Charon launchers include the prompt but lack the disciplined grounding protocol.
slop	SLOP-INV:2.30	Work inventory is SQLite tracking.db queried via tracking/query.py — not the markdown BACKLOG.md	n-a	into-charon	none	none	Charon uses ROADMAP.tsv not SQLite; the discipline (canonical query path) is preserved; the storage differs.
slop	SLOP-INV:2.31	85% confidence heuristic: pick tickets you can complete with high-fidelity code; right-sized for single shift; verifiable end-state	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'big efforts MUST be decomposed' enforces right-sizing.
slop	SLOP-INV:2.32	Tier-routing enforced by claim_work.sh and tier_route.py — mechanical not advisory; Sonnet tier restricted to doc/hygiene items	gap	into-charon	tier-models.tsv	port-to-charon	Charon has tier-models.tsv but no mechanical tier-routing gate at claim time. Tier assignment is operator-driven.
slop	SLOP-INV:2.33	Rule 3 TEAM-PROTOCOL: never ignore pre-existing issues — fix low/moderate inline or ticket the larger into pool; never silently leave	ported	into-charon	none	none	MANAGER-OPERATING-RULES §5 'never dismiss a red as pre-existing / unrelated'.
slop	SLOP-INV:2.34	REVIEW decision matrix: bug fix narrow blast = skip; new tool with proven-red = lightweight; architectural = full DToC; doctrine edit = DToC + WALK-BACK-LOG	ported	into-charon	none	none	MANAGER-OPERATING-RULES §5 + §11 'independent-review-before-merge-on-critical'.
slop	SLOP-INV:2.35	BB-8 REAP-TRAP: run review subagents in BACKGROUND not foreground — foreground blocks heartbeat → STALE → warden false-reaps	ported	into-charon	session-bridge MCP	none	Charon SESSION.md 'heartbeat-before-dispatch' captures the same lesson.
slop	SLOP-INV:2.36	ARMED-WATCHER-WAIT TRAP: ACK-wait is NOT BLOCKED proof; claim next pool item and keep working while waiting	gap	into-charon	none	port-to-charon	Charon has no explicit armed-watcher pattern; session-bridge status='blocked' could carry the same semantics.
slop	SLOP-INV:2.37	DRAIN-WITHOUT-RESPAWN trap: end_session requires roles file updated; drained requires blocked proof; operator-directed = no respawn; bare end_session REFUSED unless pool empty	gap	into-charon	none	port-to-charon	Charon end-session.sh exists but does not enforce the drain discipline.
slop	SLOP-INV:2.38	LAND — push through TEAM mutex: push_main.sh session/<droid>:main (never call lift_push_restore directly); records in SAME commit	ported	into-charon	fleet/land-push.sh	none	Charon land-push.sh IS the sanctioned wrapper; raw push is deny-listed (MANAGER-OPERATING-RULES §8).
slop	SLOP-INV:2.39	BINDING DOCTRINE: three doctrines from DOCTRINE-green-first-2026-06-13.md approved and binding on all sessions	n-a	into-charon	none	none	Charon equivalent: MANAGER-OPERATING-RULES §11 is binding; no parallel three-doctrine split.
slop	SLOP-INV:2.40	Derive live state at session start (tools/true_state.py, tracking/query.py open); do not trust typed SHA	gap	into-charon	none	port-to-charon	Charon handoff-check.sh is closest; no true_state.py analog.
slop	SLOP-INV:2.41	Working with cleanup steps: ms-status reports step+sub-task progress; ms-status --handoff emits session-start prompt	ported	into-charon	fleet/status.sh	none	Charon status.sh + end-session.sh are the analogs.
slop	SLOP-INV:3.1	Walking back a doctrine rule: append WALK-BACK-LOG entry answering 4 questions (what need, why walk back, new mechanism, failure mode)	ported	into-charon	docs/review-log/<id>.md	none	MANAGER-OPERATING-RULES §11 'independent-review floor for significant/doctrine changes' carries the same 4-question structure.
slop	SLOP-INV:3.2	BACKLOG triage: every entry must be in one of [→ S-NN-stream], [park: re-eval DATE], [x], or [—]; bare [ ] >14 days is a triage failure	gap	into-charon	none	port-to-charon	Charon ROADMAP.tsv has status/done/parked but no automated triage-age gate.
slop	SLOP-INV:3.3	No phantom owners: every deferred item resolves to done-now / real-owner+trigger / freshness-signal-that-goes-red	gap	into-charon	none	port-to-charon	Charon ROADMAP.tsv has owner column but no freshness-signal-to-red enforcement.
slop	SLOP-INV:3.4	Independent review for significant changes: mechanical floor or declared tier; reviewer by cost gradient; REVIEW-LOG entry per change	ported	into-charon	docs/review-log/<id>.md	none	Charon review-log fragments are per-ticket; tier-driven review is in MANAGER-OPERATING-RULES §5.
slop	SLOP-INV:3.5	Lesson Ledger: every lesson is a row in docs/lessons.json with probe and red_path_test; GROUND/PROCESS rows without proven-red probe are coverage gaps	gap	into-charon	fleet/state/REDS-CORPUS.md	port-to-charon	REDS-CORPUS.md is the start; no lessons.json equivalent. KSF redproof gate is the mechanism.
slop	SLOP-INV:3.6	Knowledge-Lifecycle keystone: derive/reconcile against physical ground truth; pinned vocabulary (GROUND/XREF/INDETERMINATE/UNPROBED); no silent pass; probes age	gap	into-charon	none	port-to-charon	Charon lacks the GROUND/INDETERMINATE vocabulary; RECURRENCE-AUDITOR-DESIGN.md is a design sketch only.
slop	SLOP-INV:3.7	Two-owner firewall: SLOP AI Agent is runtime-only (never reads/adjudicates docs); dev-time reconciler is separate tool (tools/audit_doc_reality.py)	gap	into-charon	none	port-to-charon	Charon has no AI-Agent doc-adjudication role; no audit_doc_reality analog.
slop	SLOP-INV:3.8	Verified Progress: every closed/done claim falls in VERIFIED (GROUND proof) / CHANGE (provisional) / ASSERTION (negative progress); re-derivation reopens on falsify	gap	into-charon	none	port-to-charon	Charon no VERIFIED/CHANGE/ASSERTION vocabulary on done items.
slop	SLOP-INV:3.9	Every rule encodes a NEED; walk-back requires WALK-BACK-LOG entry answering 4 questions	ported	into-charon	docs/review-log/<id>.md	none	Same as SLOP-INV:3.1; MANAGER-OPERATING-RULES §11 carries it.
slop	SLOP-INV:3.10	check_walkback_log flags commits removing >=3 lines from doctrine files without WALK-BACK-LOG reference	gap	into-charon	none	port-to-charon	Charon has no commit-line-count vs review-log reference gate.
slop	SLOP-INV:3.11	All modifications MUST review and apply Core Rules before implementation; exceptions require explicit notation and approval	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'guiding-docs FIRST' is the same discipline.
slop	SLOP-INV:3.12	Verifiable rules (Sections 1-5) can be checked; Guidelines (Section 6) are directional; a rule you cannot check is guidance	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'every gate-able rule MUST be a gate' codifies the same dichotomy.
slop	SLOP-INV:3.13	Rule 5.7: Distinguish verifiable rules from guidance — violations of verifiable rules are bugs; guidance violations require judgment and Core Rules updated after every session	ported	into-charon	none	none	Same as above.
slop	SLOP-INV:3.14	Section 6: Guidelines — design clarity over cleverness, error messages are UIs, minimize surface area, defer API-breaking changes, test names document intent	n-a	into-charon	none	none	Self-declared guidance; not a gap. Charon §3 'present findings in color tables' and §2 'operator prefers simplest tooling' cover the same ground.
slop	SLOP-INV:3.15	Meta-principle: prioritize VERIFIABLE + DURABLE over CONFIDENT + FAST	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'green is not proof' is the Charon corollate.
slop	SLOP-INV:3.16	Doctrine 3: Two-speed velocity model — inner loop optimize hard, boundary pay in full; 5 guardrails (repo-wide gates, snapshot only in baseline commit, no gate counts until red-proofed, shared-registry single-owned, merge-gate+publish non-optimizable)	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'green is not proof' + 'mechanism > doctrine' carry the boundary/inner distinction.
slop	SLOP-INV:3.17	Blocker/root-cause claims in status files MUST carry repro: ref that GROUND-resolves; marker is opt-in (no BLOCKER: line = unchecked)	gap	into-charon	none	port-to-charon	Charon REDS-CORPUS.md is closest; no BLOCKER:/repro: marker enforced at write time.
slop	SLOP-INV:3.18	Two owner architecture: SLOP AI Agent = runtime-only; dev-time K-L + gap-discovery = separate dev-time tool with freshness signals	gap	into-charon	none	port-to-charon	Same as SLOP-INV:3.7; not yet split in Charon.
slop	SLOP-INV:3.19	Ground-truth rules: vocabulary tokens (verified/DRIFT/INCONSISTENT/INDETERMINATE/UNPROBED); no silent pass; probes age; cite durable record never /tmp	gap	into-charon	none	port-to-charon	Same as SLOP-INV:3.6.
slop	SLOP-INV:4.1	Example domains in docs/comments/test fixtures use RFC 2606 reserved pseudo-TLD names (.example/.invalid/.test/.localhost)	gap	into-charon	none	port-to-charon	Charon docs use absolute build-rig paths freely; no RFC 2606 guard. Coupled to SLOP-INV:4.5 (no rig-host paths).
slop	SLOP-INV:4.2	Rule 3.8: Sanitize all user-supplied identifiers used as filenames/DB keys/URL segments/subprocess args	n-a	into-charon	none	none	Charon proxy server deals only with model ids; not user-supplied paths. Different threat model.
slop	SLOP-INV:4.3	Git remote uses SSH host-alias (not bare github.com); never inline PAT in push URL; never commit private keys/credentials	ported	into-charon	pre_commit_hooks	none	MANAGER-OPERATING-RULES §6 'public-repo-no-personal-info' covers credentials. SSH host-alias is a per-deploy choice.
slop	SLOP-INV:4.4	Every deny rule in permissions.deny must be accounted for by sanctioned tool or no-exceptions-period rationale	gap	into-charon	none	port-to-charon	Charon has no permissions.deny equivalent; the deny list lives in MANAGER-OPERATING-RULES prose, not a tool layer.
slop	SLOP-INV:4.5	Sanctioned tool registry: git push via lift_push_restore.py or robot_settings.py; git push -f via force_push_tag.py; settings edit via robot_settings.py	ported	into-charon	fleet/land-push.sh	none	Charon land-push.sh is the exact analog. Raw push is deny-listed (MANAGER-OPERATING-RULES §8).
slop	SLOP-INV:4.6	No-exceptions-period denies: sudo/su/doas, git amend/rebase/reset, --no-verify, config user, remote add/set-url, apt/dnf/yum, npm -g/pip --system, systemctl/service, docker ops, ssh/scp, curl/wget, nc/netcat, rm -rf destructive, chown/chmod 777, crontab/at, edit/write to ~/.claude or /etc or /usr	gap	into-charon	fleet/checks	port-to-charon	Charon has fleet/checks/* but no comprehensive deny-list registry; relies on operator skill.
slop	SLOP-INV:4.7	Pre-push contamination gate: check_slop_contamination.py before SLOP push; hard-fail on server-id/personal/email	gap	into-charon	none	port-to-charon	Charon no pre-push contamination gate; the SLOP INVENTORY §3 marks this superseded by check_public_output — Charon could import that pattern.
slop	SLOP-INV:4.8	Bandit security SAST; HIGH/CRITICAL severity with HIGH confidence blocks; fails closed on unparseable output	n-a	into-charon	none	none	Charon is stdlib-only; Bandit is third-party. Defer to future SAST tool layer.
slop	SLOP-INV:4.9	Secrets detection via gitleaks detect; blocks commit on secret leakage	gap	into-charon	pre_commit_hooks	port-to-charon	Charon no gitleaks gate; MANUAL-STEPS-AUDIT flagged it. Lower priority since Charon is build-rig not public SaaS.
slop	SLOP-INV:5.1	Rule 1: One module one canonical path — no duplicate implementations; old copy removed when refactoring	ported	into-charon	fleet/reuse-check.sh	none	MANAGER-OPERATING-RULES §11 'tool-first (build-vs-adopt)' + reuse-check.sh is the KSF mechanism.
slop	SLOP-INV:5.2	Rule 2: Production path = test path — every entrypoint import path must have a matching test import path	gap	into-charon	none	port-to-charon	Charon has tests/fleet/tests/ but no production-path vs test-path contract gate.
slop	SLOP-INV:5.3	Respect mediastack enforcement: numbered checksum-gated migrations (no ad-hoc ALTER TABLE), ratchets, run-alone/serialize	n-a	into-charon	none	none	Charon has no SQL schema; runs on in-memory state. Not applicable.
slop	SLOP-INV:5.4	Backend: FastAPI + Python (backend/); Frontend: Vue 3 + TypeScript (frontend/src/); Catalog: YAML manifests (catalog/apps/)	n-a	into-charon	none	none	Charon is pure Python stdlib; no FastAPI/Vue. Different stack by design.
slop	SLOP-INV:5.5	Reuse-and-blast-radius checkpoint: search sibling family for existing solution before building new; parameterize interface over known plural set, not hardcode	ported	into-charon	fleet/reuse-check.sh	none	MANAGER-OPERATING-RULES §12 'FIX AT THE CLASS LEVEL' (explicit PORT of SLOP CLAUDE.md:147-172).
slop	SLOP-INV:5.6	Frontend architecture: NO business logic in view files; view files template+refs+one-line-handlers only; logic >~5 lines → composables	n-a	into-charon	none	none	No frontend in Charon.
slop	SLOP-INV:5.7	File size limits: category-tiered caps; new files under hard cap; existing oversize files recorded in .linecount-baseline.json shrink-only	gap	into-charon	none	port-to-charon	Charon no file-size ratchet; KSF gate of this name could be adopted.
slop	SLOP-INV:5.8	Suppression ledger: every suppression/baseline/accept-list registered in tools/suppression_ledger.json; grow requires in-commit justification	gap	into-charon	none	port-to-charon	Charon no suppression ledger; would need a KSF-pattern meta-gate.
slop	SLOP-INV:5.9	Anti-accretion: gap remediated ONLY by fixing, generalizing existing lens, or co-located time-boxed exemption; minting new per-instance gate script is forbidden	ported	into-charon	none	none	MANAGER-OPERATING-RULES §12 '§6 ANTI-ACCRETION meta-rule' (explicit PORT of SLOP CLAUDE.md:383).
slop	SLOP-INV:5.10	Catalog env vars use ${VAR} syntax (not Python {var}) in env: values	n-a	into-charon	none	none	Charon no catalog.
slop	SLOP-INV:5.11	Apply scripts: Python only, no f-strings, no {} dict literals; no multi-line bash in SSH; no multi-line python3 -c	gap	into-charon	none	port-to-charon	Charon no apply-script style guide; ad-hoc style across prompts/. Promote to fleet/STYLE-GUIDE.md.
slop	SLOP-INV:5.12	Vue view files NO business logic — Rule-007 gates new files at 600 lines	n-a	into-charon	none	none	No Vue in Charon.
slop	SLOP-INV:5.13	Deploy = git pull on target NOT scp; tree owned by service user mediastack; run git/pip/npm as that user; root only for systemctl	n-a	into-charon	none	none	Charon is a single-host build-rig; no remote deploy.
slop	SLOP-INV:5.14	SLOP AI Agent ≠ User LLM catalog apps — agent monitors SLOP itself; tier-0 exclusion enforced	n-a	into-charon	none	none	No user LLM apps in Charon.
slop	SLOP-INV:5.15	Rule 1.2: Minimize redundancy — one way to do each thing; shared logic lives in one function; never duplicated	ported	into-charon	fleet/reuse-check.sh	none	Reuse-check covers it; same as SLOP-INV:5.1.
slop	SLOP-INV:5.16	Rule 4.13: Structured logging — use get_logger from backend.core.logging; structured key=value not f-strings; print() forbidden in backend/	n-a	into-charon	none	none	Charon uses print() in scripts; not backend-style. Style choice; not a gap.
slop	SLOP-INV:5.17	Rule 4.15: Architecture Decision Records — documented as ADRs in docs/adr/; numbered sequentially, immutable once accepted	ported	into-charon	fleet/ADR-*.md	none	Charon has fleet/ADR-*.md; same discipline, no formal gate.
slop	SLOP-INV:5.18	Rule 4.17: No dead code — unreferenced functions/classes removed; vulture runs at 80% confidence in ms-enforce Tier 2	gap	into-charon	none	port-to-charon	Charon no vulture; could adopt as KSF inert_code extension.
slop	SLOP-INV:5.19	Rule 5.1-5.2: ms-* toolchain is the enforcement layer — humans don't run the rules, tools do	ported	into-charon	fleet/checks/*	none	Charon fleet/checks/* and fleet/land.sh are the toolchain layer.
slop	SLOP-INV:5.20	Rule 5.6: TODOs are first-class artifacts — every deferred item has TODO_*.md file with problem/plan/reason/trigger/files; no TODO file = forgotten item	gap	into-charon	none	port-to-charon	Charon has docs/TODO_*.md style in some places but no enforced template.
slop	SLOP-INV:5.21	Rule 5.13: LLM AI context automatically assembled — ms-audit --improve ingests Core Rules, mutmut survivors, Schemathesis failures, Keploy failures automatically	n-a	into-charon	none	none	No mutmut/Schemathesis in Charon.
slop	SLOP-INV:5.22	Rule 5.19: Migration discipline — every schema change delivers numbered migration file; direct edits to schema.sql prohibited; checksums verified on startup	n-a	into-charon	none	none	No SQL schema in Charon.
slop	SLOP-INV:5.23	Rule 5.20: Type discipline — mypy --strict on backend/; new # type: ignore requires explicit error code and comment; accepted ignores bounded	gap	into-charon	none	port-to-charon	MANAGER-OPERATING-RULES step 3 'mypy src tests' runs mypy but no per-module --strict gate and no bounded-ignores ledger.
slop	SLOP-INV:5.24	Rule 5.22: Complexity discipline — ruff C901 mccabe max-complexity=15; per-file-ignores for intrinsic/transitional; tests validate thresholds	gap	into-charon	ruff (ad-hoc)	port-to-charon	MANAGER-OPERATING-RULES step 3 'ruff check' runs but no mccabe threshold and no test enforcing the threshold.
slop	SLOP-INV:5.25	Rule 5.23: Repository structure — canonical documents at one location only; duplicate copies flagged; gitignore data/ discipline	gap	into-charon	none	port-to-charon	Charon has no canonical-doc gate; known duplicates (e.g. multiple HANDOFF-*.md) are not auto-flagged.
slop	SLOP-INV:5.26	Rule 5.24: Structural anti-pattern discipline — new drift patterns encoded as rules in tools/check_structural_antipatterns.py; 4-step addition contract	gap	into-charon	none	port-to-charon	KSF leak_guard gate is the closest; no formal pattern-addition contract.
slop	SLOP-INV:5.27	Rule 5.25: Rule-addition contract — adding numeric Core Rule requires 5 companion changes (C1-C5) in same commit	gap	into-charon	none	port-to-charon	Charon no rule-addition contract; this ticket would benefit (intake would force a cross-doc consistency check).
slop	SLOP-INV:5.28	Rule 5.26: Installer layout — installer never hardcodes /opt/mediastack or /var/lib/mediastack except single canonical location; reads from CLI args/env/state	n-a	into-charon	none	none	No installer in Charon.
slop	SLOP-INV:5.29	Rule 5.28: Enforcement-coverage SSOT — single auto-derived source of truth; TIER_1 HARD meta-gate fails-closed on BLOCKING gaps; 8-class gap taxonomy	gap	into-charon	none	port-to-charon	KSF coverage_ssot gate is the same idea; Charon has not yet ported the meta-gate (ROADMAP mentions KS25 design as next).
slop	SLOP-INV:5.30	Structural anti-patterns rules registry: rule-001 through rule-005	gap	into-charon	none	port-to-charon	Charon has no formal registry; KSF leak_guard + no_pipe_mask are per-instance gates (per the anti-accretion rule they should be unified).
slop	SLOP-INV:5.31	Adding new rule to structural anti-patterns: check_fn + RULES tuple + test (positive+negative) + doc entry — all 4 in same commit	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.27; contract not enforced.
slop	SLOP-INV:5.32	Enforcement-Coverage SSOT: claims of enforcement meaningful only if mechanism exists, wired into CI/session gate, can fail, and targets root problem	gap	into-charon	none	port-to-charon	KSF coverage_ssot covers it; not yet adopted in Charon.
slop	SLOP-INV:5.33	7+1 gap classes: no-mechanism, wired-not-activated, warn-when-hard, symptom-not-disease, never-gone-red, fragile, conflation, scope-incomplete	gap	into-charon	none	port-to-charon	KSF coverage_ssot already encodes this taxonomy; just needs adoption in Charon.
slop	SLOP-INV:5.34	Load-bearing fact stored as unconstrained prose/unregistered local state is trusted as derived/validated — same disease in 3 layers	gap	into-charon	none	port-to-charon	Charon no structural-coverage lens.
slop	SLOP-INV:5.35	Single structural guarantee: registry (tracked text) + conformance leg (fail-closed) + discovery leg (fail-closed on unknown); rides existing enforcement-coverage gate	gap	into-charon	none	port-to-charon	Same as above.
slop	SLOP-INV:5.36	Probe registry schema: probe rows in tools/probe_registry.json with id/physics/cmd/ground_tokens/brownout_tokens/host_configured/wrong_target	gap	into-charon	none	port-to-charon	Charon has no probe registry; gates have no aging signal.
slop	SLOP-INV:5.37	Probe classification: WRONG-target → DRIFT; rc==127 + host_configured=true → DRIFT; ground token → GROUND-TOUCH; brownout → indeterminate	gap	into-charon	none	port-to-charon	Same as above.
slop	SLOP-INV:5.38	Aging rule: probe with NO ground-touch in N=5 consecutive runs → DRIFT	gap	into-charon	none	port-to-charon	Same as above.
slop	SLOP-INV:5.39	OPEN-SEAM append contract: append row to probe_registry.json; never edit audit_probe_aging.py logic	gap	into-charon	none	port-to-charon	Same as above; anti-accretion cousin.
slop	SLOP-INV:5.40	Baseline ratchet: .probe-health-baseline.json missing → establish don't alarm; aged_count is shrink-only	gap	into-charon	none	port-to-charon	Same as above.
slop	SLOP-INV:5.41	Auto-down-ratchet for lessons-unprobed and factprobe: hold-across-N-merges guard (N=3); pilot on lessons-unprobed only	gap	into-charon	none	port-to-charon	Charon no auto-ratchet for fact probes.
slop	SLOP-INV:5.42	Convertibility table: ruff-ratchet/linecount leave-as-is; lessons-unprobed/factprobe/wave-prompt/gate-truegreen/gate-greenfixture/ssot-discovery → auto-down-ratchet	gap	into-charon	none	port-to-charon	Charon no convertibility decision.
