# ON-DEMAND-TOOL-LEDGER.tsv — every tool classified by INVOCATION REALITY (evidence, not docstrings).
# Ticket: ON-DEMAND-TOOL-AUDIT (operator directive, cere-junda; applies [[dynamic-tools-never-on-demand]]).
# Generated: 2026-07-16. Method: enumerate TOOL-INVENTORY.md + fleet/*.sh + fleet/checks/*.sh + fleet/memory/* +
# fleet/capability/* + /home/stack/code/charon/tools/*.py + key src/charon modules (via fleet/state/WIRING-AUDIT-MATRIX.md);
# for each, grep callers across fleet/**, tools/gates.json, src/charon/gate_runner.py, .github/workflows, crontab,
# ~/.claude/settings.json + project .claude/settings.local.json SessionStart hooks; last/never-run from state artifacts,
# file mtimes, git history. EXTENDS fleet/state/TOOL-WIRING-AUDIT.md (2026-07-16T01:05Z) with the never/rarely-run dimension;
# supersedes its foreman finding (foreman IS now wired: preflight.sh:590 foreman_advisory, landed after that audit).
# Classification: MECHANIZED (cadence and/or >=1 real trigger) | ON-DEMAND-ONLY (works, no trigger, humans must remember) |
# NO-TRIGGER (built+tested, zero live callers) | NEVER-RUN (zero callers AND zero run evidence) | RARELY-RUN (one leg wired,
# key leg dark) | DEAD (retire). Rows ranked by priority (P0 first). "covered:" = existing ticket already owns the fix.
tool	invoked-how (evidence)	classification	dynamic-data?	fix	priority
fleet/env-registry.sh	only fleet/tests/env-registry.test.sh (created 2026-07-15); the registry it should refresh (state/CG-PROVIDERS.md) last touched 2026-07-13 — already stale	NO-TRIGGER	Y	SessionStart (primary) + SESSION-CTX-PROPAGATE preamble (sub-agents). covered: ENV-REGISTRY-WIRE (board, depends_on SESSION-CTX-PROPAGATE)	P1
fleet/reuse-check.sh (ksf reuse-check)	zero automated callers — only PROSE mentions in session-ctx-preamble.sh:43,50 ("run reuse-check.sh") = a rule, not a trigger; keystone.db tables (decisions/built_inventory/backlog) all EMPTY = never populated by any run	NEVER-RUN	Y	trigger: project-audit.sh pre-brief leg + fold into GRAPHIFY-MAP-FRESHNESS's reuse-check entry point (that ticket's accept already specs it — no new tool)	P1
fleet/model-scorecard.sh (--due review leg)	append/render legs MECHANIZED (live: model-scorecard.tsv mtime 07-15 18:53 via dogfood-to-scorecard + bench pipeline); --due/reviewed leg has ZERO automated callers (grep --due outside the script: 0) — review cadence unmechanized	RARELY-RUN	Y	surface `model-scorecard.sh --due` in preflight advisory + handoff.sh (report-only). NEEDS BOARDING (small; could ride FOREMAN-MULTI-TRIGGER's handoff edit — same file)	P2
fleet/log-prune.sh	only fleet/tests/log-prune.test.sh; never-run evidence: state/overnight still 124 logs, state/agent-logs 12M — exactly the accretion B3 built it to stop	NEVER-RUN	Y	cadence: SessionStart-interval weekly (dry-run report; apply stays operator) or ride branch-reaper's existing SessionStart hook slot. NEEDS BOARDING (small)	P2
fleet/checks/gpt55-primary.sh	ZERO callers, no test; live-probe (16-token real request) never fired by any path	NEVER-RUN	Y	IF the 4-LOM gpt-5.5-via-nanogpt policy still stands: preflight advisory, timeout-wrapped. ELSE RETIRE. Decide at boarding — do not leave limbo	P2
fleet/wci-actions.sh	ZERO callers since creation 2026-07-12; recomputes collision hotspots from the live board every run — built to never go stale, then never run	ON-DEMAND-ONLY	Y	trigger: append to preflight wci_advisory (preflight.sh:482-492 already runs sibling wci-contention) or handoff.sh	P2
src/charon RequestInspector	constructed gateway.py:272-274, stored proxy_server.py:560; .inspect() ZERO call sites (WIRING-AUDIT-MATRIX row 9)	NEVER-RUN	N	wire pre-forward alongside guardrails scan per matrix map (R44 owner)	P2
src/charon SessionAffinity	constructed, stored proxy_server.py:563; zero method call sites (matrix row 10)	NEVER-RUN	N	wire around route selection in forward_with_failover per matrix map (R44)	P2
src/charon Observability	constructed, stored proxy_server.py:559; .export()/.get_metrics() zero call sites (matrix row 11)	NEVER-RUN	Y	wire .export() to metrics endpoint or periodic background flush per matrix map (R44)	P2
src/charon BalanceTracker.record_spend	call sites exist (forwarder.py:557,651) but behind `bt is not None` guard — None in production (matrix row 8)	NEVER-RUN	Y	covered: DRAIN-ROUTING (CLAIMED) / matrix R46: add funding_class+mode to a provider entry	P2
src/charon SpeculativeExecutor	requires {"enabled":true} AND has zero .execute() call sites even then (matrix row 12, SR-4 confirmed)	NEVER-RUN	N	wire into R2 cost-rank fan-out per matrix (R45) or RETIRE — decide, don't strand	P3
src/charon ConsensusRouter	same as above (matrix row 13)	NEVER-RUN	N	wire as post-fan-out quality gate per matrix (R45) or RETIRE	P3
src/charon VirtualKeyManager	constructed, stored proxy_server.py:566; zero call sites (matrix row 14)	NEVER-RUN	N	wire .resolve() into auth path + console routes per matrix (R44) or RETIRE	P3
ksf gate/reconcile/verify-self (live CLI legs)	not called from any fleet script (TOOL-INVENTORY §2 admits the gap); keystone.db empty — no run has ever registered anything	NEVER-RUN	N	no wiring: product gate suite already covers the gate leg; annotate TOOL-INVENTORY that only the reuse-check leg is being wired (row above) — de-list the rest until a consumer exists	P3
fleet/research.sh	only fleet/tests/research.test.sh; state/research-registry/ ABSENT — no research session ever launched through it	NEVER-RUN	N	human-initiated launcher — on-demand is the correct shape; dogfood once on the next real research task, RETIRE if still unused by 2026-08-01	P3
fleet/reconcile-held-markers.sh	only its test; one-shot backstop for HELD state/done markers (2026-07-15 backstory in header)	ON-DEMAND-ONLY	N	acceptable: operator remediation command; optional fold as retire-done.sh fallback hint	P3
fleet/config-drift.sh	preflight.sh --advisory (wired) AND its registry state/CONFIG-SOURCES.tsv now EXISTS (created 07-15 18:19) — the TOOL-WIRING-AUDIT "silent no-op" finding is RESOLVED	MECHANIZED	Y	none (verify non-empty registry stays; SSOT-DRIFT-GATE extends)	—
fleet/cg-drift.sh	preflight.sh caller (wired); note state/cg-drift.tsv is 0 bytes = zero recorded CG failures, not a broken tool	MECHANIZED	Y	none	—
fleet/sync-checkouts.sh	fleet/hooks/session-start.sh:28 (SessionStart, wired); preflight-top leg still pending	MECHANIZED	Y	remaining leg covered: SYNC-SCHEDULE (board, depends_on STARTUP-CONTEXT-DIET)	—
fleet/branch-reaper.sh	global ~/.claude/settings.json SessionStart hook (dry-run to state/branch-reaper.log, log live 07-15 19:12)	MECHANIZED	Y	none (reap action manual by design — delete blast radius)	—
fleet/access-check.sh	preflight.sh:586	MECHANIZED	Y	none	—
fleet/status.sh	fleet/hooks/session-start.sh + ~/.claude/settings.json SessionStart	MECHANIZED	Y	none	—
fleet/project-audit.sh	preflight.sh:505 inflight-audit	MECHANIZED	Y	none	—
fleet/wci-contention.sh	preflight.sh:485 + foreman.sh + (as parallelizability-gate) validate_board.sh:392	MECHANIZED	Y	none	—
fleet/checks/parallelizability-gate.sh	validate_board.sh:392 + fleet-droid.sh + launch-plan.sh + foreman.sh	MECHANIZED	Y	none	—
fleet/checks/no-claude-executor.sh	preflight.sh:278 (every preflight)	MECHANIZED	Y	none	—
fleet/checks/bridge-health.py	capability/availability.py -> assign.py -> fleet-droid.sh (live launch path)	MECHANIZED	Y	none	—
fleet/capability/grades.py + assign.py	fleet-droid.sh (real-outcome re-rank) + validate_board.sh + assign.sh + launch-plan.sh	MECHANIZED	Y	none	—
fleet/model-detention.sh	fleet-droid.sh (assignment guardrail)	MECHANIZED	Y	none	—
fleet/loop-guard.sh	claim.sh + fleet-droid.sh + preflight.sh + foreman.sh	MECHANIZED	Y	none	—
fleet/leak-guard.sh	fleet-droid.sh + retire-done.sh	MECHANIZED	Y	none	—
fleet/gh-cache.sh	done.sh + foreman.sh	MECHANIZED	Y	none	—
fleet/handoff-check.sh	preflight.sh + end-session.sh + handoff.sh	MECHANIZED	Y	none	—
fleet/verify-merged.sh / reconcile-merged.sh / retire-done.sh	preflight.sh scan chain + done.sh/claim.sh	MECHANIZED	Y	none	—
fleet/land-needs-push.sh	preflight.sh + status.sh + submit.sh	MECHANIZED	Y	none	—
fleet/log-model-report.sh	fleet/capture/enqueue-capture.sh (capture pipeline)	MECHANIZED	Y	none	—
fleet/session-ctx-preamble.sh	~/.claude/settings.json SessionStart hook	MECHANIZED	Y	none	—
benchmark/dogfood-eval.sh + dogfood-to-scorecard.sh	fleet-droid.sh + reviewer-dogfood + item-bank pipeline; live evidence: scorecard-append-pathc-20260716-031754.sh + scorecard mtime 07-15	MECHANIZED	Y	none	—
tools/check_*.py product gate suite (arch/boundary/security/test_patterns/public_clean/gate_registry/no_rig_import/version/workflows/inert_code/decisions) + render_review_log.py	gate_runner.py CHECKS:9-27 (charon.cli gate) + tools/gates.json + CI workflows (ci.yml)	MECHANIZED	Y	none — check_catalog_case_quant is the ONE absentee (P0 row)	—
fleet/preflight.sh / validate_board.sh / gate.sh / land.sh	workflow chokepoints themselves — fired at wave-launch/board-edit/land events by fleet-droid.sh, land-push.sh, hooks	MECHANIZED	Y	none	—
fleet/assign.sh, add-provider.sh, add-provider-interactive.sh, decompose.sh, claim.sh, done.sh, release.sh, reject.sh, next.sh, pending.sh, board.sh, report.sh, summary.sh, handoff.sh, end-session.sh, deploy.sh, deploy-session-end.sh, checkin.sh, submit.sh, land-push.sh, charon-run.sh, fleet-droid.sh, autonomous.sh, roadmap-html.sh	human/droid workflow COMMANDS — each fired by its workflow event (claim/land/handoff/deploy); report.sh also SessionStart-hooked; roadmap-html via end-session.sh	ON-DEMAND-ONLY	N	none — [[dynamic-tools-never-on-demand]] targets dynamic-DATA tools; a command invoked at its workflow event is correctly on-demand	—
